,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
0,b1c3,d2d4,rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.44999999999999996,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
1,g1f3,d2d4,rnbqkb1r/pp3ppp/2p1pn2/3p4/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 5,0.51,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
2,e1g1,d2d3,r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 4 6,0.36,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
3,c1d2,b2b3,r1bqk2r/pp2bppp/1np1pn2/3p4/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq - 1 8,0.64,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
4,a4b6,d2a5,r1bqk2r/1p2bppp/pnp1pn2/8/N1p5/3P1NP1/PP1BPPBP/R2Q1RK1 w kq - 0 10,4.890000000000001,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
5,d2c3,b3b4,r1br2k1/1p3ppp/pqp1pn2/2b5/2P5/1P3NP1/P1QBPPBP/R4RK1 w - - 3 14,0.59,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
6,g5f3,e2e4,r1brn1k1/1p4pp/pqp1p3/2b2pN1/2P5/1PB3P1/P1Q1PPBP/R4RK1 w - - 0 16,0.49,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
7,a1d1,b3b4,r1brn1k1/qp4pp/p1p1p3/2b2p2/2P5/1PB2NP1/P1Q1PPBP/R4RK1 w - - 2 17,0.3200000000000003,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
8,c2c1,e2e4,r1brn1k1/qp4pp/pbp1p3/5p2/2P5/1PB2NP1/P1Q1PPBP/3R1RK1 w - - 4 18,1.5,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
9,c1g5,c3e5,r1brn1k1/qpb3pp/p1p1p3/5p2/2P5/1PB2NP1/P3PPBP/2QR1RK1 w - - 6 19,0.71,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
10,g5e7,g5e7,r1b1n1k1/qpb3pp/p1prp3/5pQ1/2P5/1PB2NP1/P3PPBP/3R1RK1 w - - 8 20,1.21,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
11,f3g5,f3e5,r3n1k1/qpbbQ1pp/p1prp3/5p2/2P5/1PB2NP1/P3PPBP/3R1RK1 w - - 10 21,8.73,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
12,e5c4,h7h6,r1bqk2r/pp1p1pbp/4p1p1/2p1n1N1/2B2Q2/2N5/PPPP1PPP/R1B2RK1 b kq - 1 9,1.13,b,a5706711-ac1d-11ee-beca-6cfe544c0428,checkmated,600
13,a8a2,g7f8,r5k1/4Qpbp/3p2p1/8/2P4P/5PB1/P5P1/6K1 b - - 0 29,6.22,b,ccd39005-ac1d-11ee-beca-6cfe544c0428,resigned,600
14,e5e4,b4b6,6R1/8/5K1k/4p1p1/1rB4p/1P6/8/8 b - - 0 53,7.04,b,6291cda7-ac1f-11ee-beca-6cfe544c0428,checkmated,600
15,b1c3,g1f3,rnbqk1nr/pppp1pbp/4p1p1/8/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.32,w,c4801320-ac21-11ee-beca-6cfe544c0428,win,600
16,f3d4,h2h4,rnbqk2r/p1ppnpbp/1p2p1p1/8/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 0 6,1.01,w,c4801320-ac21-11ee-beca-6cfe544c0428,win,600
17,d1a4,d2d4,rn1qk2r/pb1pnpbp/1p2p1p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 0 9,0.5,w,c4801320-ac21-11ee-beca-6cfe544c0428,win,600
18,e4e5,d2c4,2rq1r2/pb3pkp/1p2pnp1/2p5/4P3/2QP2P1/PP1N1PBP/R4RK1 w - - 3 20,0.5599999999999999,w,c4801320-ac21-11ee-beca-6cfe544c0428,win,600
19,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.35,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
20,e1g1,d2d4,rn1qk2r/ppp2ppp/3pbn2/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 2 6,0.72,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
21,b7c6,d2d4,r2qk2r/pQ1n1ppp/2pp1n2/2b1p3/8/5NP1/PP1PPPBP/R1B2RK1 w kq - 2 11,0.33999999999999986,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
22,f3g5,d2d4,r2q1rk1/p2n1ppp/2Qp1n2/2b1p3/8/5NP1/PP1PPPBP/R1B2RK1 w - - 1 12,0.78,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
23,a4b3,a4d1,5rk1/p1r2ppp/1n1p1q2/2b1p3/Q7/6P1/PP1PPPBP/R1B2RK1 w - - 0 16,0.33999999999999986,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
24,h2h4,a2a4,3r2k1/p1r2ppp/1n3q2/2bpp3/8/1Q1P2P1/PP2PPBP/R1B2RK1 w - - 0 18,0.7799999999999998,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
25,d2a5,e2e3,3r2k1/p1r2pp1/1n3q1p/3pp3/3b3P/1Q1P2P1/PP1BPPB1/R4RK1 w - - 2 20,1.03,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
