,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
0,b1c3,g1f3,rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.5,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
1,g1f3,d2d4,rnbqkb1r/pp3ppp/2p1pn2/3p4/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 5,0.42000000000000004,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
2,e1g1,d2d3,r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 4 6,0.39,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
3,c1d2,b2b3,r1bqk2r/pp2bppp/1np1pn2/3p4/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq - 1 8,0.6,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
4,a4b6,d2a5,r1bqk2r/1p2bppp/pnp1pn2/8/N1p5/3P1NP1/PP1BPPBP/R2Q1RK1 w kq - 0 10,4.9,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
5,e5c4,h7h6,r1bqk2r/pp1p1pbp/4p1p1/2p1n1N1/2B2Q2/2N5/PPPP1PPP/R1B2RK1 b kq - 1 9,1.11,b,a5706711-ac1d-11ee-beca-6cfe544c0428,checkmated,600
6,b1c3,g1f3,rnbqk1nr/pppp1pbp/4p1p1/8/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.35,w,c4801320-ac21-11ee-beca-6cfe544c0428,win,600
7,f3d4,d2d4,rnbqk2r/p1ppnpbp/1p2p1p1/8/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 0 6,1.02,w,c4801320-ac21-11ee-beca-6cfe544c0428,win,600
8,e1g1,d2d4,rn1qk2r/pb1pnpbp/1pp1p1p1/8/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 2 8,0.36,w,c4801320-ac21-11ee-beca-6cfe544c0428,win,600
9,d1a4,d2d4,rn1qk2r/pb1pnpbp/1p2p1p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 0 9,0.62,w,c4801320-ac21-11ee-beca-6cfe544c0428,win,600
10,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.37,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
11,e1g1,d2d4,rn1qk2r/ppp2ppp/3pbn2/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 2 6,0.67,w,eef9d600-ac22-11ee-beca-6cfe544c0428,agreed,600
12,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.38,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
13,d1b3,h2h3,r2q1rk1/1pp2pp1/p1np1n1p/2b1pb2/2P5/2NP2P1/PP1BPPBP/R2QNRK1 w - - 2 10,0.44000000000000006,w,acb5d923-ac25-11ee-beca-6cfe544c0428,repetition,600
14,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.4,w,498498ee-ac28-11ee-beca-6cfe544c0428,win,600
15,b1c3,g1f3,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 1 4,0.9,w,498498ee-ac28-11ee-beca-6cfe544c0428,win,600
16,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.44,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
17,b1c3,c4d5,rnbqkbnr/ppp2ppp/8/3p4/2P1p3/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,2.19,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
18,d1a4,c4d5,rnbqkbnr/pp3ppp/2p5/3p4/2P1p3/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 0 5,2.4,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
19,c4d5,b3b7,rn1qkb1r/pp1b1ppp/2p2n2/3p4/2P1p3/1QN3P1/PP1PPPBP/R1B1K1NR w KQkq - 4 7,1.17,w,e3b1c981-ac29-11ee-beca-6cfe544c0428,resigned,600
20,b6a5,b6a5,r1b1k1nr/pp1pppbp/1qn3p1/8/N2p1B1P/P3P3/1PP2PP1/R2QKBNR b KQkq - 1 7,0.31000000000000005,b,db7ca9d3-ac2d-11ee-beca-6cfe544c0428,win,600
21,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.41000000000000003,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
22,c2c4,g1f3,rnbqkbnr/pp2pppp/8/2pp4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 0 3,0.33,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
23,b1c3,c4d5,rnbqkb1r/pp2pppp/5n2/2pp4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 1 4,0.51,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
24,e4g2,e4c6,r1bqkb1r/pp3ppp/2n1p3/2p5/2PpB3/3P2P1/PP2PP1P/R1BQK1NR w KQkq - 1 8,0.47,w,9847a80d-ac2e-11ee-beca-6cfe544c0428,win,600
25,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.36,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
26,b1c3,c4d5,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 1 4,1.15,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
27,g1f3,c4d5,rn1qkb1r/ppp2ppp/4bn2/3pp3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 3 5,0.74,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
28,f3g5,d2d4,rn1qk2r/ppp2ppp/3bbn2/3pp3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 5 6,0.5800000000000001,w,1077686a-ac31-11ee-beca-6cfe544c0428,win,600
29,c2c4,g1f3,rnbqkb1r/ppppp1pp/5n2/5p2/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 2 3,0.3400000000000001,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
30,f2f1,f2g1,rnbqk2r/pppp2pp/8/5pN1/2P1p1n1/2N3P1/PP1PPKBP/R1BQ3R w kq - 1 8,0.48000000000000004,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
31,c3d5,d2d3,rnb1k2r/pppp2pp/8/5pq1/2P1p1n1/2N3P1/PP1PP1BP/R1BQ1K1R w kq - 0 9,0.72,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
32,e2e3,d2d3,rnbqk2r/pppp2pp/8/3N1p2/2P1p1n1/6P1/PP1PP1BP/R1BQ1K1R w kq - 2 10,1.48,w,7a6f10d5-ac34-11ee-beca-6cfe544c0428,checkmated,600
33,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.38,w,49c9c5b4-ac38-11ee-beca-6cfe544c0428,resigned,600
34,b1c3,d2d4,rnbqkbnr/pp3ppp/2p5/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.6499999999999999,w,49c9c5b4-ac38-11ee-beca-6cfe544c0428,resigned,600
35,b1d2,e2e3,r2qk2r/pp1n1ppp/2pb1n2/4pb2/2Pp4/3P1NP1/PP2PPBP/RNBQ1RK1 w kq - 5 9,0.6299999999999999,w,49c9c5b4-ac38-11ee-beca-6cfe544c0428,resigned,600
36,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.38,w,917bbc22-ac3a-11ee-beca-6cfe544c0428,win,600
37,b1c3,c4d5,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 1 4,1.1199999999999999,w,917bbc22-ac3a-11ee-beca-6cfe544c0428,win,600
38,d1b3,c4d5,rn1qkb1r/ppp2ppp/4bn2/3pp3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 3 5,0.64,w,917bbc22-ac3a-11ee-beca-6cfe544c0428,win,600
39,c3d5,c4d5,r2qkb1r/pppn1ppp/4bn2/3pp3/2P5/1QN3P1/PP1PPPBP/R1B1K1NR w KQkq - 5 6,0.8300000000000001,w,917bbc22-ac3a-11ee-beca-6cfe544c0428,win,600
40,g1f3,d2d3,r3kb1r/pppn1ppp/8/2nPp3/8/6P1/PP1PPPBP/R1B1K1NR w KQkq - 0 10,0.5499999999999998,w,917bbc22-ac3a-11ee-beca-6cfe544c0428,win,600
41,c3b5,f3f4,r3kbnr/p1pp1ppp/1p3q2/4p3/2Pn4/2N2PP1/PP1P1PBP/R1BQ1RK1 w kq - 1 8,1.6199999999999999,w,68952088-ac3d-11ee-beca-6cfe544c0428,win,600
42,d1e2,d2d4,2kr1bnr/p1pp1ppp/1p3q2/1P2p3/8/5PP1/PP1P1PBP/R1BQ1RK1 w - - 1 10,0.8200000000000001,w,68952088-ac3d-11ee-beca-6cfe544c0428,win,600
43,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.33,w,1ca7cd36-ac89-11ee-beca-6cfe544c0428,repetition,600
44,c3e4,g1e2,rnb2rk1/ppppnppp/5q2/2b1p3/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR w KQ - 3 6,0.5900000000000001,w,1ca7cd36-ac89-11ee-beca-6cfe544c0428,repetition,600
45,e4c5,g1f3,rnb2rk1/ppppnppp/1q6/2b1p3/2P1N3/4P1P1/PP1P1PBP/R1BQK1NR w KQ - 5 7,0.49,w,1ca7cd36-ac89-11ee-beca-6cfe544c0428,repetition,600
46,c4d5,d2d4,r1b2rk1/ppp1nppp/2n5/2qpp3/2P5/1P2P1P1/P2PNPBP/R1BQK2R w KQ - 0 10,0.35,w,1ca7cd36-ac89-11ee-beca-6cfe544c0428,repetition,600
47,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.39,w,2192bb6c-ac8b-11ee-beca-6cfe544c0428,win,600
48,b1c3,c4d5,rnbqkbnr/pp3ppp/2p5/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.65,w,2192bb6c-ac8b-11ee-beca-6cfe544c0428,win,600
49,g1f3,c4d5,rn1qkbnr/pp3ppp/2p1b3/3pp3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 5,0.6699999999999999,w,2192bb6c-ac8b-11ee-beca-6cfe544c0428,win,600
50,d1b3,c4d5,rn1qk1nr/pp3ppp/2p1b3/3pp3/1bP5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 4 6,0.56,w,2192bb6c-ac8b-11ee-beca-6cfe544c0428,win,600
51,b3b7,f3e5,rn1qk1nr/pp3ppp/2p1b3/2bpp3/2P5/1QN2NP1/PP1PPPBP/R1B1K2R w KQkq - 6 7,0.7000000000000002,w,2192bb6c-ac8b-11ee-beca-6cfe544c0428,win,600
52,c3d5,c4d5,r2qk1nr/p2n1ppp/2Q1b3/3pp3/1bP5/2N2NP1/PP1PPPBP/R1B1K2R w KQkq - 1 9,1.1799999999999997,w,2192bb6c-ac8b-11ee-beca-6cfe544c0428,win,600
53,d5e7,d5c7,r2qk2r/p2nnppp/2Q1b3/3Np3/1bP5/5NP1/PP1PPPBP/R1B1K2R w KQkq - 1 10,1.4799999999999995,w,2192bb6c-ac8b-11ee-beca-6cfe544c0428,win,600
54,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.41000000000000003,w,5a5dce73-ac8c-11ee-beca-6cfe544c0428,win,600
