,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
0,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.4,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
1,e2e4,e2e3,r4rk1/pp4pp/2p1q3/3n1p2/8/3P2P1/PP2PPBP/2RQ1RK1 w - - 0 16,0.6500000000000001,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
2,f1e1,d1a4,r4rk1/pp4pp/2p1qn2/8/4P3/6P1/PP3PBP/2RQ1RK1 w - - 1 18,0.4800000000000004,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
3,f2f4,e4e5,r4r1k/pp4pp/2p1qn2/8/4P3/6P1/PP3PBP/2RQR1K1 w - - 3 19,1.07,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
4,b2b3,e4e5,r4r1k/pp2q1pp/2p2n2/8/4PP2/6P1/PP4BP/2RQR1K1 w - - 1 20,0.5100000000000002,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
5,e4e5,e1d1,3r1r1k/pp4pp/2p2n2/8/1q2PP2/1P4P1/P3Q1BP/2R1R1K1 w - - 3 22,0.5800000000000001,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
6,g1h1,c4c5,5r1k/pp4pp/1qp2n2/4P3/2Q2P2/1P4P1/P2r2BP/2R1R1K1 w - - 3 24,5.04,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
7,e1c1,c5c1,5r1k/pp4pp/2p5/2R1P3/5P2/1P1n2P1/P2r2BP/4R1K1 w - - 1 28,0.71,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
8,b3b4,g2h3,7k/pp4pp/2p5/4P3/P4P2/1P1r2P1/5KBP/8 w - - 2 33,0.6299999999999999,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
9,f2e2,g2e4,6k1/pp4pp/2p5/4P3/PP3P2/3r2P1/5KBP/8 w - - 1 34,0.54,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
10,b4b5,b4b5,6k1/pp4pp/2p5/4P3/PP1r1P2/6P1/4K1BP/8 w - - 3 35,0.3500000000000001,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
11,g2c6,g2f1,6k1/p5pp/1p6/1P2P3/3r1P2/6P1/4K1BP/8 w - - 0 37,0.9,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
12,e3d3,c6d5,8/p4kpp/1pB5/1P2P3/2r2P2/4K1P1/7P/8 w - - 4 39,10.69,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
13,g3g4,c6b7,8/p4kpp/1pB5/1Pr1P3/5P2/3K2P1/7P/8 w - - 6 40,0.8700000000000001,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
14,h2h4,c6h1,8/p3k1pp/1pB5/1Pr1P3/5PP1/3K4/7P/8 w - - 1 41,0.33999999999999986,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
15,d3d4,c6e4,8/4k1pp/1pB5/pPr1P3/5PPP/3K4/8/8 w - a6 0 42,1.9799999999999995,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
16,f4f5,c6e4,8/4k1pp/1pB5/1Pr1P3/p2K1PPP/8/8/8 w - - 0 43,0.4499999999999993,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
17,g4g5,f5f6,8/4k1pp/1pB5/1Pr1PP2/3K2PP/p7/8/8 w - - 0 44,2.1099999999999994,w,7d22d7d7-685c-11ef-a6d9-6cfe544c0428,resigned,600
