,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
0,b1c3,g1f3,rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.5,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
1,g1f3,d2d4,rnbqkb1r/pp3ppp/2p1pn2/3p4/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq - 2 5,0.56,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
2,e1g1,d2d3,r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 4 6,0.47,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
3,c1d2,b2b3,r1bqk2r/pp2bppp/1np1pn2/3p4/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq - 1 8,0.53,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
4,a4b6,d2a5,r1bqk2r/1p2bppp/pnp1pn2/8/N1p5/3P1NP1/PP1BPPBP/R2Q1RK1 w kq - 0 10,4.88,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
5,b2b3,d1c2,r1b2rk1/1p2bppp/pqp1pn2/8/2P5/5NP1/PP1BPPBP/R2Q1RK1 w - - 1 12,0.34,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
6,d2c3,b3b4,r1br2k1/1p3ppp/pqp1pn2/2b5/2P5/1P3NP1/P1QBPPBP/R4RK1 w - - 3 14,0.5499999999999999,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
7,g5f3,e2e4,r1brn1k1/1p4pp/pqp1p3/2b2pN1/2P5/1PB3P1/P1Q1PPBP/R4RK1 w - - 0 16,0.41000000000000014,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
8,c2c1,e2e4,r1brn1k1/qp4pp/pbp1p3/5p2/2P5/1PB2NP1/P1Q1PPBP/3R1RK1 w - - 4 18,1.8399999999999999,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
9,c1g5,c3e5,r1brn1k1/qpb3pp/p1p1p3/5p2/2P5/1PB2NP1/P3PPBP/2QR1RK1 w - - 6 19,1.1099999999999999,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
10,g5e7,g5e7,r1b1n1k1/qpb3pp/p1prp3/5pQ1/2P5/1PB2NP1/P3PPBP/3R1RK1 w - - 8 20,1.7599999999999998,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
11,f3g5,f3e5,r3n1k1/qpbbQ1pp/p1prp3/5p2/2P5/1PB2NP1/P3PPBP/3R1RK1 w - - 10 21,9.82,w,244b994e-ac1c-11ee-beca-6cfe544c0428,win,600
0,d2d3,d2d4,rnbq1rk1/pp2ppbp/5np1/3p4/8/2N2NP1/PP1PPPBP/R1BQ1RK1 w - - 0 8,0.6,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
1,a4c5,d1b3,r2q1rk1/1p1bppbp/p1n2np1/8/N2p4/P2P1NP1/1P1BPPBP/R2Q1RK1 w - - 2 12,0.6699999999999999,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
2,c5d7,a1c1,r1q2rk1/1p1bppbp/p1n2np1/2N5/3p4/P2P1NP1/1P1BPPBP/R2Q1RK1 w - - 4 13,1.05,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
3,a3a4,f1c1,r4rk1/3qppbp/p1n2np1/1p6/3p4/PQ1P1NP1/1P1BPPBP/R4RK1 w - - 0 15,0.56,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
4,a1a4,b3a4,r4rk1/3qppbp/p1n2np1/8/p2p4/1Q1P1NP1/1P1BPPBP/R4RK1 w - - 0 16,0.33999999999999986,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
5,f1a1,f3g5,r4rk1/3q1pbp/p1n2np1/4p3/R2p4/1Q1P1NP1/1P1BPPBP/5RK1 w - - 0 17,0.5999999999999999,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
6,d3e4,f3g5,rr4k1/3q1pbp/p1n2np1/8/R1Qpp3/3P1NP1/1P1BPPBP/R5K1 w - - 0 19,0.74,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
7,a4a6,f3e1,r5k1/3q1pbp/p1n3p1/8/R1QpnB2/5NP1/1r2PPBP/R5K1 w - - 0 21,1.33,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
8,a8b8,c4d3,R4bk1/3qnp1p/6p1/8/2QpnB2/5NP1/4PP1P/1r3BK1 w - - 5 25,3.9,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
9,f1f2,f1g1,8/5k1N/4p1p1/4B3/3p1P2/2b1n1P1/4P2P/5K2 w - - 1 38,2.44,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
10,g3g4,e4d6,8/8/1b2p1p1/5k2/4N2P/3P1KP1/8/8 w - - 1 46,1.27,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
11,h4h3,e4f2,8/8/4p3/5k1P/4N2K/3P4/5b2/8 w - - 5 51,10.03,w,2a0fab34-c148-11ee-8402-6cfe544c0428,win,180
